,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,num_rooms,factor
0,2126,4,1,Rural,1969,215355,5,101.3
1,2459,3,2,Rural,1980,195014,5,79.31
2,1860,2,1,Suburb,1970,306891,3,165.0
3,2294,2,1,Urban,1996,206787,3,90.14
4,2130,5,2,Suburb,2001,272436,7,127.9
5,2095,2,3,Suburb,2020,198209,5,94.61
6,2724,2,1,Suburb,1993,343429,3,126.08
7,2044,4,3,Rural,1957,184992,7,90.5
8,2638,4,3,Urban,1959,377999,7,143.29
9,1121,5,2,Urban,2004,95962,7,85.6
10,1466,5,3,Suburb,1951,191114,8,130.36
11,2238,3,3,Suburb,1987,253359,6,113.21
12,1330,2,2,Suburb,1992,132172,4,99.38
13,2482,4,3,Suburb,1989,231157,7,93.13
14,1087,4,1,Urban,1976,118394,5,108.92
15,2396,2,2,Suburb,1993,267377,4,111.59
16,2123,5,2,Rural,1956,190773,7,89.86
17,1871,4,2,Suburb,1977,172990,6,92.46
18,2687,5,1,Urban,1979,239223,6,89.03
19,1130,4,3,Rural,1962,143050,7,126.59
20,2685,4,3,Urban,1999,405524,7,151.03
21,2332,3,3,Rural,1978,263954,6,113.19
22,1769,4,1,Suburb,1963,148311,5,83.84
23,1343,2,3,Rural,2013,151734,5,112.98
24,2515,2,3,Urban,2013,307961,5,122.45
25,2437,2,1,Rural,2004,276163,3,113.32
26,1805,5,1,Rural,2002,243985,6,135.17
27,1385,4,3,Rural,1996,88031,7,63.56
28,2215,5,1,Urban,1952,282909,6,127.72
29,1955,3,1,Rural,2014,240977,4,123.26
30,1276,4,1,Rural,1965,104747,5,82.09
31,2184,2,2,Suburb,1959,347207,4,158.98
32,1459,3,2,Rural,2006,77494,5,53.11
33,2337,3,3,Suburb,2008,331851,6,142.0
34,1021,4,3,Rural,2013,110409,7,108.14
35,1252,2,1,Urban,1993,127933,3,102.18
36,1747,5,3,Rural,1982,228683,8,130.9
37,1856,4,2,Rural,1959,124712,6,67.19
38,2584,2,3,Suburb,2001,415851,5,160.93
39,1474,3,3,Urban,1959,184820,6,125.39
40,2082,4,2,Suburb,1966,164856,6,79.18
41,1510,3,2,Suburb,2002,156928,5,103.93
42,2705,2,1,Urban,1971,282458,3,104.42
43,2499,5,1,Urban,2021,287592,6,115.08
44,1699,5,1,Rural,1960,156314,6,92.0
45,1975,3,3,Suburb,2016,279764,6,141.65
46,2806,3,3,Suburb,1962,366494,6,130.61
